namaste_code,name
ABC-7,tvaksthitapittakōpaḥ
ABC-8,snāyusthitapittakōpaḥ
ABC-9,kōṣṭhasthitapittakōpaḥ
ABC-10,sirāsthitapittakōpaḥ
AB-1,nirāmapittam
AB-2,sāmapittam
AB-3,pittarōga-ariṣṭaḥ
AC,ślēṣmavikāraḥ
ACA,dōṣāvasthā
SR1B(ACA-1),kaphasañcayaḥ
SR1C(ACA-2),kaphavṛddhiḥ
SR1A(ACA-2.1),kaphaprakopaḥ
SR1D(ACA-3),kaphaprasaraḥ
SR1E(ACA-4),kaphakṣayaḥ
ACB,nānātmaja-ślēṣmavikāraḥ
ACB-1,atisthaulyam
ACB-2(SM3B),apaktiḥ
SP96(ACB-3),ālasyam
ACB-4,udardaḥ
ACB-5,kaṭukāṅkṣā
ACB-6,uṣṇakāmitā
ACB-7(SR0Y),buddhimāndyam
ACB-8,acaitanyam
ACB-9,mūtrādhikyam
ACB-10,śukravr̥ddhiḥ/śukrādhikyam
ACB-11,śaityam-nānātmajaślēṣmavikāraḥ
ACB-12(SM1Y),"kaṇṭhopalepaḥ, mukhalepaḥ"
ACB-13,galagaṇḍaḥ
ACB-14(SP9Y),gurugātratā
ACB-15(SQ4Y),tandrā
ACB-16(SM7Y),tṛptiḥ
SL72(ACB-17),dhamanīpraticayaḥ
SQ40(ACB-18),nidrādhikyam
ACB-19,balāsakaḥ
ACB-20,malādhikyam
ACB-21(SM1Y),mukhamādhuryam
ACB-22,mukhasrāvaḥ/prasēkaḥ
ACB-23(SM3B),agnimāndyam
ACB-24(SM7Y),śleṣmodgiraṇam
ACB-25,śvētavarcastvam
ACB-26,śvētāvabhāsatā
ACB-27(SP9Y),staimityam
ACB-28(SL6Y),hṛdayopalepaḥ
ACB-29(SK5Y),ghargharavākyatā
ACC,sthānaviśēṣa-kupitakaphaḥ
ACC-1,tvak-sthitakaphakōpaḥ
ACC-2,raktasthitakaphakōpaḥ
ACC-3,māṁsasthitakaphakōpaḥ
ACC-4,mēdaḥsthitakaphakōpaḥ
ACC-5,asthisthitakaphakōpaḥ
ACC-6,majjāsthitakaphakōpaḥ
ACC-7,śukrasthitakaphakōpaḥ
ACC-8,sirāsthitakaphakōpaḥ
ACC-9,snāyusthitakaphakōpaḥ
ACC-10,kōṣṭhasthakaphakōpaḥ
AC-1,sāmakaphaḥ
AC-2,nirāmakaphaḥ
AC-3,vaikr̥takaphaḥ
AD,sānnipātikavikāraḥ
AD-1,vātapittōlbaṇa-mandakaphasannipātaḥ
AD-2,vātakaphōlbaṇa-hīnapittasannipātaḥ
AD-3,pittakaphōlbaṇa-hīnavātasannipātaḥ
AD-4,vātōlbaṇa-hīnakaphapittasannipātaḥ
AD-5,pittōlbaṇa-hīnakaphavātasannipātaḥ
AD-6,kaphōlbaṇa-hīnavātapittasannipātaḥ
AD-7,ślēṣmōlbaṇa-pittamadhya-hīnavātaḥ
AD-8,pittōlbaṇa-madhyakapha-hīnavātasannipātaḥ
AD-9,vātōlbaṇa-madhyakapha-hīnapittaḥ
